Book,Chapter,Verse,Scripture
40,1,1,"<TS1>JESUS CRISTO MUWẼG̃AP EKAWẼNTUP(-)\{(-)<CM>—\{Okukukat\{—\{io'e.\{—\{G̃asũ\{õn\{iju\{jojom\{—\{io'e.\{—\{Soat\{taxijo\{am\{etaẽiat\{cocom\{õn\{—\{io'e. (-)\{(-)<CM>—\{Okukukat\{—\{io'e.\{—\{G̃asũ\{õn\{iju\{jojom\{—\{io'e.\{—\{Soat\{taxijo\{am\{etaẽiat\{cocom\{õn\{—\{io'e.MATEUS EMUDUPMUBARARAKTUP<Ts>Kuyjeayũ Jesus Cristo diwatwat. Ixe Jesus tiwat ijop'in ma Davi dak, Abraão dak. Ixe Davi Abraão naxeg̃ebit osunuy. Kuyjeayũ osodop ip. Tobuyũ osodop ip. Ite diwatwat ma. Ibũrũ ma osodop ip:"
40,1,2,Isaque ebay Abraão osunuy. Jacó ebay Isaque o'e. Judá ebay Jacó osunuy(-)\{(-)<CM>—\{Okukukat\{—\{io'e.\{—\{G̃asũ\{õn\{iju\{jojom\{—\{io'e.\{—\{Soat\{taxijo\{am\{etaẽiat\{cocom\{õn\{—\{io'e. (-)\{(-)<CM>—\{Okukukat\{—\{io'e.\{—\{G̃asũ\{õn\{iju\{jojom\{—\{io'e.\{—\{Soat\{taxijo\{am\{etaẽiat\{cocom\{õn\{—\{io'e.Judá kitpiyũ ebay dak.
40,1,3,"Peres ebay Judá osunuy, Zera ebay dak. Ixi Tamar osunuy. Esrom ebay Peres osunuy, Zera ebay dak. Ixi Tamar osunuy. Esrom ebay Peres osunuy. Arão ebay Esrom osunuy."
40,1,4,Aminadabe ebay Arão osunuy. Nasom ebay Aminadabe osunuy. Salmom ebay Nasom osunuy.
40,1,5,Boaz ebay Salmom osunuy. Raabe Boaz xi osunuy. Obede ebay Boaz osunuy. Obede xi Rute osunuy. Jessé ebay Obede osunuy.<CM>Imẽn o'e. 14 em osodop(-)\{(-)<CM>—\{Okukukat\{—\{io'e.\{—\{G̃asũ\{õn\{iju\{jojom\{—\{io'e.\{—\{Soat\{taxijo\{am\{etaẽiat\{cocom\{õn\{—\{io'e. (-)\{(-)<CM>—\{Okukukat\{—\{io'e.\{—\{G̃asũ\{õn\{iju\{jojom\{—\{io'e.\{—\{Soat\{taxijo\{am\{etaẽiat\{cocom\{õn\{—\{io'e.14 gerações osodop.<CM>
40,1,6,Davi ebay Jessé osunuy(-)\{(-)<CM>—\{Okukukat\{—\{io'e.\{—\{G̃asũ\{õn\{iju\{jojom\{—\{io'e.\{—\{Soat\{taxijo\{am\{etaẽiat\{cocom\{õn\{—\{io'e. (-)\{(-)<CM>—\{Okukukat\{—\{io'e.\{—\{G̃asũ\{õn\{iju\{jojom\{—\{io'e.\{—\{Soat\{taxijo\{am\{etaẽiat\{cocom\{õn\{—\{io'e.kuyibit kukukat ebay. Salomão eba y Davi osunuy. Urias tayxibuk Salomão xi osunuy.
40,1,7,Roboão ebay Salomão osunuy. Abias ebay Roboão osunuy. Asa ebay Abias osunuy.
40,1,8,Josafá ebay Asa osunuy. Jorão ebay Josafá osunuy. Uzias ebay Jorão osunuy.
40,1,9,Jotão ebay Uzias osunuy. Acaz ebay Jotão osunuy. Ezequias ebay Acaz osunuy.
40,1,10,Manassés ebay Ezequias osunuy. Amom ebay Manassés osunuy. Josias ebay Amom osunuy.
