Book,Chapter,Verse,Scripture
40,1,1,<TS1>MATEUS<Ts><TS2>Mateua vara bivani'aki ida Jesus monina jahaki<Ts><TS1>Jesus Cristo kaija'ari avikhananavaki<Ts><TS3><i>(Lucas 3.23-38)</i><Ts>Hida vani Jesus Cristo kaija'ari avikhananavaki vaonina. Davi kohana kaija'ari namitharonisiagaki ada Jesus Cristo. Abraão kaija'ari namitharonisiagaki ada Davi.<CI>
40,1,2,<PI>Isaque kaabi'i ada Abraão kohana.<CI>Jacó kaabi'i ada Isaque kohana.<CI>Judá vakadiabi'i ada Jacó.<CI>
40,1,3,Peres Zera khama vakadiabi'i kohana ada Judá.<CI>Vakadiamia kohana Tamar oniki.<CI>Esrom kaabi'i ada Peres kohana.<CI>Arão kaabi'i ada Esrom kohana.<CI>
40,1,4,Aminadabe kaabi'i ada Arão kohana.<CI>Nasom kaabi'i ada Aminadabe kohana.<CI>Salmom kaabi'i ada Nasom kohana.<CI>
40,1,5,Boaz kaabi'i ada Salmom kohana.<CI>Boaz kaamia kohana Raabe oniki.<CI>Obede kaabi'i ada Boaz kohana.<CI>Obede kaamia kohana Rute oniki.<CI>Jessé kaabi'i ada Obede kohana.<CI>
40,1,6,"Davi kaabi'i ada Jessé kohana. Arabo kaka'da'dini ada Davi kohana.<CI>Salomão kaabi'i ada Davi kohana.<CI>Davia bivahoja'iki ida Urias kohana kagamo, Salomão kaamia ida.<CI>"
40,1,7,Roboão kaabi'i ada Salomão kohana.<CI>Abias kaabi'i ada Roboão kohana.<CI>Asa kaabi'i ada Abias kohana.<CI>
40,1,8,Josafá kaabi'i ada Asa kohana.<CI>Jorão kaabi'i ada Josafá kohana.<CI>Uzias kaabi'i ada Jorão kohana.<CI>
40,1,9,Jotão kaabi'i ada Uzias kohana.<CI>Acaz kaabi'i ada Jotão kohana.<CI>Ezequias kaabi'i ada Acaz kohana.<CI>
40,1,10,Manassés kaabi'i ada Ezequias kohana.<CI>Amom kaabi'i ada Manassés kohana.<CI>Josias kaabi'i ada Amom kohana.<CI>
40,1,11,"Jeconias vakadiabi'i ada Josias kohana.<CI>Josias kohana hokina kari Babilônia kaija'arini va'ora vagathi'iki adani Israel kaija'ari Babilônia kaarabonia avikhara kaimoni.<CI> Israel kaija'ari Babilônia kaarabonia osahi vihina naothinia, hojaki ada Salatiel oniki.<CI>Salatiel kaabi'i ada Jeconias kohana.<CI>Zorobabel kaabi'i ada Salatiel kohana.<CI>"
40,1,13,Abiúde de kaabi'i ada Zorobabel kohana.<CI>Eliaquim kaabi'i Abiúde kohana.<CI>Azor kaabi'i ada Eliaquim kohana.<CI>
40,1,14,Sadoque kaabi'i ada Azor kohana.<CI>Aquim kaabi'i ada Sadoque kohana.<CI>Eliúde kaabi'i ada Aquim kohana.<CI>
40,1,15,Eleazar kaabi'i ada Eliúde kohana.<CI>Matã kaabi'i ada Eleazar kohana.<CI>Jacó kaabi'i ada Matã kohana.<CI>
40,1,16,"José kaabi'i ada Jacó kohana. Maria kamakhira ada José, Jesus kaamia ida Maria. Cristo ada Jesus Deua binagathogatho'iki.<CM> Asia hojaki hida Jesus kaija'ari avikhananavaki varani vihina. Abraão kahanodi hanodina hanodi'ianana, hanodi'ianana, kahanodi'ianana onivani fori vihi'ianaha adani 14 vihiki vakadisai vahanodironisiagana va'oaniaro maina, oniaroa, hoja'aha ada Davi ovari maina.<CM>Davi abini'ina naothinia onivani fori vihiha adani 14 vaipohina vihiki afo'iana, vahanodi'ianana adani vakadihanodi vahanodironisiagana, oniania osahi vihi'aha adani Israel kaija'ari Babilônia kaarabonia. Babilônia kaarabonia avikhana naothinia 14 ipohini vani fori vihi'ianaha vahanodi'ianana adani vakadihanodi vahanodironisiagana, oniania, hoja'aha ada Cristo.<CM>"
40,1,18,<TS1>Jesus Cristo 'bana'ina varani hini hida<Ts><TS3><i>(Lucas 2.1-7)</i><Ts>Hari. Vara ovani'aki bana hida Jesus Cristo biva'bana'iki kamahini varani hini. Maria oniki ida Jesus kaamia. Joséa binofiki ida Maria-ra kanagamohavini. Joséa bivi'omaravini oadani kajahavido'ihi ida Maria. Ni-Joséa bivaisa'iki. Ma'onahai Jahaki vani ada Maria-ra vaisa'ara. Nokiariha ada Ma'onahai Jahaki.<CM>
40,1,19,"Ni-Joséa biogaki kaho ida niha ninini Maria kajahavidoni. Makhira hoariha kaisai bivanihamanihi. Maria kajahavidoni mani ida José kidigamo kaimoni-ra nofijanaravini hija. Jahaki, asohiki ida José kahojai, ni-binofiki ida Maria va'ini-ra anaipahihivini vahoariha vaviaha bianaathidanoararivini badani jaharikia kabadanini bikahivini. Ija'ari vaipohiki avigaravini oadani, binofiki ida akarai kapapirani-ra na'biravini, kidigamo hijanaria kaimoni ida Maria."
