Book,Chapter,Verse,Scripture
40,1,1,<TS1>Mateus wasaniha ty ziwatahaka Sesus soho<Ts><TS1>Nahi taparaktsa Sesus Kiristu zotsa naro.<Ts>Sesus Kiristu zotsa naro maha. Sesus Kiristu taparakta Abarão tsekokatsa niy. Idiri Dawi niwatihi taparakta Abarão tsekokatsa niy.<CI>
40,1,2,<PI>Tapara Abarão niy. Iwaze Isake ta Abarão tse. Sako ta Isake tse. Suda ta Sako tse itukytsa tuk. Sako hyrytsa niaha.
40,1,3,"<PI>Pereszo Sudata usta tse Sera zinarokota, sije Tama zinarokotatsa Tama niy. Iwaze Esrõ ta Peres tse niy. Arão ta Esrõ tse niy."
40,1,4,"<PI>Aminadabe ta Arão tse. Nasõ ta Aminadabe tse, Saramao ta Nasõ tse."
40,1,5,"<PI>Boas ta Saramao tse, ije Hahabe zinarokotatsa. Obede ta Boas ije Hute zinarokotatsa. Sese ta Obede tse.<CI>"
40,1,6,<PI>Takino Dawizo. Iwa taparakta Abarão tsekokatsa niaha. Iwaze Saromao ta Dawi tse ije tapara Urias oke niy.
40,1,7,<PI>Hoboã ta Saromao tse niy. Abias ta Hoboã tse. Asa ta Abias tse.
40,1,8,<PI>Sosapa ta Asa tse niy. Sorã ta Sosapa tse niy. Usias ta Sorã tse.
40,1,9,<PI>Sotã ta Usias tse niy. Akas ta Sotã tse niy. Esekias ta Akas tse niy.
40,1,10,"<PI>Manases ta Esekias tse niy. Amo ta Manases tse, Sosias ta Amo tse niy."
40,1,11,<PI>Sekonias ta Sosias tse itukytsa tuk niy. Iwa niy. Kyze kytsa Sudeutsa Babironija bo nisioktyhyryknaha.<CI>
40,1,12,<PI>Anaeze Sarateu ta Sekonia tse nipuruk. Kyze Sorababeu ta Sarateu tse niy.
40,1,13,<PI>Abiu ta Sorababeu tse. Aso ta Eriakĩ tse.
40,1,14,<PI>Sadoke ta Aso tse. Akĩ ta Sadoke tse. Eriude ta Akĩ tse niy.
40,1,15,<PI>Ereasa ta Eriude tse. Matã ta Ereasa tse niy. Sako ta Matã tse.
40,1,16,<PI>Sako ta Sose zo atahi Maria barikta niyzik. Atatsa katsa Deus zipehata Sesus je niyzik. Sesus Deus zipehata mywata niy.<CI>
40,1,17,<PI>Iwa Sesus Kiristu zotsa naro. Taparakta Abarão tsekokatsa Dawi bo zinaropyknahaze iwa katorise sinaro niaha. Taparakta Dawi kyze Babironija ezektsa Sudeutsa meky botu nisioktyhyryknaha iwa katorise sinaro. Iwaze Sudeutsa Babironija ekze ziksizonaha kyze Sesus Kiristu purukwy bo iwa katorise sinaro. Iwa hỹ.<CM>
40,1,18,<TS1>Sesus Kiristu purukwy.<Ts>Kyze Sesus Kiristu nipuruk. Tapara Maria soho Sose:<CM>— Byri puẽtsikze piakse — niy. Kyze ibo tatyhyrizikwyhabyitatu itabykyhy. Deus hyrikoso humo tabykyhy. Ana humo hi Sose batu ihyrinymyry.
40,1,19,Iwaze Sose:<CM>— O mektatu ja ibo natahyrizikwy nikara mytsaty ahabyita nikara. Ituk batu kasukza tsihik. Iwatatu atatsa humo batu kakyri — niy.
40,1,20,Iwaze mytsaty nikara zuruze zitsotospykyryk bijoikpe iknykta Deus tsumuẽhĩtsa ibo inasik. Bijoikpe iknykta:<CM>— O apyby byihukta Sose! Maria barikta tsimozik! Ibykyhy mektatsebyita tu Deus tse.
40,1,21,Mopurukze Sesus ty tsipinaro. Kytsa simysapybyitsa tu ziknakaranaha Deus ihumo mysiokzohik — niy. Inaro Sudeu harere tihi:<CM>— Atakta Deus bo aparakbaha mysioktyhyrykta — my.<CM>
40,1,22,"Iwa bijoikpe iknykta niy, Deus harere humo. Tubabatu Deus sohokotsa inarokota Isaijas ziwatahaka, aba zuba atsatu mykara.<CI>"
40,1,23,"<PI>— Atatsa ityrykduwyhybyitatsa tu itabykyhy,<CI><PI2>itse mopurukze Imanue ty pinaro mykara — niy. Inaro piwatawy Deus mypauk baze tu.<CI><PI0>Deus sohokotsa tubabatu ziwataha abazuba atsatu niy.<CM>"
40,1,24,Sose inapupuze: Hyỹ niy. Iwatahi iaktaba haĩhaĩbyi niy.
40,1,25,Ibo ka batu hyrizikwy — Byriktsa! Abykyhy mopurukze tu — niy. Iwa niy. Iwaze nipurukze Sose taskyrywy Sesus zinaroko niy.<CM>
40,2,1,"<TS1>Sisukmotsa Sesus Kiristu bo nikozorenaha.<Ts>Kyze Erodes Sudeja ezektsa pehatsa niyzikze Sesus nipuruk. Atakta Berẽhe eze tu nipuruk. Berẽhe Sudeja eze niy. Nipurukze kytsa sisukmotsa Serusarẽhe bo niukurunaha. Serusarẽhe niwatihi Sudeja eze niy. Sisukmotsa byrisoiktsa humo zinymyrykynaha, sihudikhudikwy nokponi haramwe sukewy taba sihudikhudikwytsa."
40,2,2,"Serusarẽhe bo izumunahaze asahi:<CM>— Haneze sa ibykyhy nipuruk. Atahi Deus zipehata mywata Sudeutsa pehatsa mozik. Iwatawy byrisoik bo iktsa tsikaha, haramwe sukewy taba byrisoik bo iktsa tsikaha. Iwatsahi iapik tsikumukunaha. Ibo tsimytsaso tsihikiknaha. O ikia tsamysapyrẽta. Tsikpuruk ana humo hi mykurẽtsa tsimaha — niaha.<CM>"
40,2,3,— Ana soho Erodes ziwabyze paikpa mytsaty nikara. “Uta zuba kytsa pehakatsa mozik iky” — mytsaty nikara. Serusarẽhe ezektsa niwatihi paikpa mytsaty nikaranaha. Erodes pokso sipybyrẽtsa.
40,2,4,"Iwaze kytsa sizubarẽtsa Erodes bo izumukunaha. Wastuhu taparaktsa Deus wahoro zubata eze ziknapamykysonahatsa, ustsa asaktsa Deus harere zinymyrynahatsa kino niwatihi iwa. Sizubarẽtsa inasikypykbanaha. Erodes tihi:<CM>— Haneze sa Kiristu Deus zipehata mopuruk atakta aparakbaha mypehatsa mozik. Hana eze sa mopuruk — niy.<CM>"
40,2,5,— O Berẽhe Sudeja eze niaha. Anaeze Deus zipehata mopuruk. Tubabatu Deus sohokotsa botu ziwataha Deus tihi:<CI>
40,2,6,"<PI>— Berẽhe Sudeja eze tisapyrẽna.<CI><PI2>Anahudikhudikwy ezektsa batu sisikpyby.<CI><PI>Berẽhe ezekta hi kytsa kabo mysioktyhyrykta,<CI><PI2>katyryktsa mysioktyhyryk — niy.<CI><PI0>— Iwa Deus sohokotsa tubabatu botu ziwatahaka — niaha.<CM>"
40,2,7,Iwaze Erodes sisukmotsa bo huahua niy. Asazubaze atahi:<CM>— Nawa zuruze sa byrisoik bo iktsa tsikaha — niy. — O nawa zuruze byrisoik bo iktsa tsikaha — niaha. Yhỹ Erodes niy.<CM>
40,2,8,— Iwaze ikiahatsa Berẽhe boktsa! tsimaha niy. Berẽhe bo makuskyry bo tynakozorẽnaha tsimaha. Atahi nataberiki. Ibo tsipomonaha zeka ja iwaze kabo tyziksizonaha. Uta kino niwatihi ibo mynakozore ipe: “Ikia tsamysapyrẽta” my — mybarapetu niy. Iwa sisukmotsa pe niy. Tapetu nikara — O makuskyry pibeze tsihikik — niy.<CM>
40,2,9,<sup>(9-10)</sup> Iwaze sisukmotsa iharere ziwabykynahaze niukurunaha. Niukurunahaze byrisoik bo iktsa niaha. Asta botu iktsa niaha tasapy eze tuze niaha. Ana bo hi iktsa niahaze sakurẽtsa. Byrisoik siharaze niukuru iwaze asa kino iapik niukurunaha. Maku skyry purukwy bo zumuze byrisoik iharapu bete pyk niy. Byrisoik natahyrikobaik niy.
40,2,10,(-)
40,2,11,Iwaze sisukmotsa wahoro bo nipupunaha. Anaeze maku skyry taje Maria tuk ahatsa bo izumunaha. Maku skyry bo iktsa niahaze iokeryk tahaekaratsa humo puruk puruk niaha. Asahi:<CM>— Ikia tsamysapyrẽta ahumo mykurẽtsa — niaha. Iwaze isapyha ty ibo nyny niaha. Isapyhaty ouro ty hi ibo nyny niaha. Tsipokzitsiarẽna ty. Iwaze jokmorẽnikia ty parakĩsẽ inarokoha tsonok mahaze tsokmorẽna anatyhi nyny niaha. Iwaze mira usaty jokmorẽnikia ty ibo nyny niaha iwa isapyha ty ibo nyny niaha.<CM>
40,2,12,Iwaze unata nisitsotyspykyrykzoze bijoikpe iknykta Deus tsumuẽhĩtsa ispe niy:<CM>— Erodes bo ka ja erete erete byitaha! Ahahudikhudikwy bo mekta ske buruk tu tsiksinahaktsa! — niy. Yhỹ niaha. Iwaze tahahudikhudikwy bo ziksikinahaze mekta ske buruk tu niukurunaha. Nawa Deus tsumuẽhĩtsa ispe niy.<CM>
