Book,Chapter,Verse,Scripture
40,1,1,"<TS1>YÚTOE MÁTEU<Ts><TS2>koyúhoti koeku Jesus<Ts><TS1>Oxúnoekenehiko Jesus<Ts><TS3><i>(Lk 3.23-38)</i><Ts>Enepora yutoéti, koati koyuhó'inoviti iháhiko ne oxúnoekene Jesus Kristu, ámoripono Ndávi, ámoriponoikomaka Âbraum.<CI>"
40,1,2,"<PI>Eneponeko Âbraum, há'ane neko Izáki.<CI>Kene Izáki, Njáko itukoa há'a.<CI>Kene Njáko, Njúda yoko po'ínuhiko itukoa há'a.<CI>"
40,1,3,"<PI>Kene Njúda, Pêre yoko Nzêra itukoa há'a.<CI>Táma koéha êno neko pi'âti xe'exa Njúda.<CI>Kene Pêre, Êzorom itukoa há'a.<CI>Yoko Âraum koéha xé'a neko Êzorom.<CI>"
40,1,4,"<PI>Kene Âraum, Aminâdabi itukoa há'a.<CI>Kene Aminâdabi, Nâso itukoa há'a.<CI>Kene Nâso, Sâumom itukoa há'a.<CI>"
40,1,5,"<PI>Kene Sâumom, Mbôa itukoa há'a.<CI>Yoko Râbe koéha êno ne Mbôa.<CI>Kene Mbôa, Ôbedi itukoa há'a.<CI>Yoko Rúti koéha êno ne Ôbedi.<CI>Kene Ôbedi, Njése itukoa há'a.<CI>"
40,1,6,"<PI>Eneponeko Njése, énomone itúko há'a neko Ndávi, nâti mekúke.<CI>Yoko ápe xe'éxa neko Ndávi xoko sêno, viúvana hóyeno koéhati Ûriya.<CI>Salúmaum koéha neko xé'a.<CI>"
40,1,7,"<PI>Kene Salúmaum, Robôaum itukoa há'a.<CI>Kene Robôaum, Âmbiya itukoa há'a.<CI>Kene Âmbiya, Âza itukoa há'a.<CI>"
40,1,8,"<PI>Kene Âza, Njozáfa itukoa há'a.<CI>Kene Njozáfa, Njôraum itukoa há'a.<CI>Kene Njôraum, Ûziya itukoa há'a.<CI>"
40,1,9,"<PI>Kene Ûziya, Njótaum itukoa há'a.<CI>Kene Njótaum, Áka itukoa há'a.<CI>Kene Áka, Ezékiya itukoa há'a.<CI>"
40,1,10,"<PI>Kene Ezékiya, Manáse itukoa há'a.<CI>Kene Manáse, Âmum itukoa há'a.<CI>Kene Âmum, Njôziya itukoa há'a.<CI>"
40,1,11,"<PI>Kene Njôziya, Njekóniya yoko po'ínuhiko itukoa há'a ya kaxénake íteokonoku ne viyénoxapa jûdeu xapa isukókoti yaneko omopókononehiko itúkeovo kaúti ya Mbabílonea.<CI>"
40,1,12,"<PI>Eneponeko Njekóniya, ápe xé'a koéhati Salatíye ike omópinekono viyénoxapa ya Mbabílonea.<CI>Kene Salatíye, Nzorobâbe itukoa há'a.<CI>"
40,1,13,"<PI>Kene Nzorobâbe, Ambiûdi itukoa há'a.<CI>Kene Ambiûdi, Eliyáki itukoa há'a.<CI>Kene Eliyáki, Âzo itukoa há'a.<CI>"
40,1,14,"<PI>Kene Âzo, Sadóki itukoa há'a.<CI>Kene Sadóki, Âkim itukoa há'a.<CI>Kene Âkim, Eliûdi itukoa há'a.<CI>"
40,1,15,"<PI>Kene Eliûdi, Eleâza itukoa há'a.<CI>Kene Eleâza, Mátam itukoa há'a.<CI>Kene Mátam, Njáko itukoa há'a.<CI>"
40,1,16,"<PI>Kene Njáko, Yûse, ima Mâriya, itukoa há'a.<CI>Yoko Mâriya, énomone itúko êno ne Jesus. Yoko Jesus, énomone ne iháxonetimaka Mésiya, páhoe Itukó'oviti koíteovo xâne.<CM>"
40,1,17,"Enepone oxúnoekene Jesus yutoxóvoti îha yarâ'a, kátoze kôe ukeâti kaxena Âbraum tukú koeti kaxena Ndávi. Kene ukeâti kaxena Ndávi tukú koeti omópeokonoku viyénoxapa ya Mbabílonea, kátoze koépomaka îha ne oxúnoekene yutoxóvoti yarâ'a. Kene ukeâti kaxena omópeokonoku viyénoxapa ya Mbabílonea tukú koeti ápepe Mésiya, kátoze koépomaka îha.<CM>"
40,1,18,"<TS1>Koeku inâ ipuhíko Jesus<Ts><TS3><i>(Lk 2.1-7)</i><Ts>Hara kôe kixoku koêku inâ ipuhíko ne Jesus Kristu yara kúveu mêum. Enepone Mâriya, eno Jesus, hoenáxokonotine itúkeovo yenomo Yûse. Itea koeku âvoyea ava xoko Yûse koane âvoyea akápinea, ihaikó koéne neko Mâriya ya xunákoke Sasá'iti Omíxone Itukó'oviti."
40,1,19,"Yoko enepone Yûse, imamo Mâriya, koati itípakovoti hóyeno, epó'oxo koati ponóvoti kixoku itúkeovo. Exoâne Yûse íhaikea ne Mâriya, ápene isóneuke kotóhineopea mani kóyenoyea. Itea ako akáha'a ómea yuhoíkovokutike, puvâti váherexea yuhó'inokono ne Mâriya."
40,1,20,"Koeku ixómoyea itúkinoa isóneu Yûse, símoa ánju, ovoxe Itukó'oviti ukeâti vanúke. Hopúneke vekínoa. Hara kíxoa:<CM>—‍Yusé, iti ámoripono Ndávi, hako pivôa kéyenoyi ne Mâriya, vo'oku enepone íhaikea, koati Sasá'iti Omíxone Itukó'oviti porexôa kó'iyeaneye."
40,1,21,"Apêtimo xe'éxa, hóyenomo kalivôno. Jesus íheximo, vo'oku koíteovomo xanéna ya pahúnevo —‍kíxoane ánju neko Yûse.<CM>"
40,1,22,"Kó'inokeneye uhá koêti yanekôyo, vo'oku simóvotine kaxéna neko yuho Itukó'oviti ya yuhóke porófeta, enepone koyúhoti emo'u Itukó'oviti mekúke. Énomone neko emo'úti koêti:"
40,1,23,"“Apêtimo ârunoe ihaíkoti ákoti hóyeno yuhó'ixoati. Koxe'éxatimo hóyeno kalivôno. Emanûe íhaxeokonomo” koêti. (Yoko enepone Emanûe koêti, anéye Itukó'oviti xapákuke ûti koêti.)<CM>"
